Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
PartyOnboardingPersonal,Chrome 76.0.3809.100,,,2019-08-22 20:05:43,2019-08-22 20:07:45,2m - 1.748s,INCOMPLETE
,,,,,,,
Test Cases/Login,Chrome 76.0.3809.100,"user: user31
Pass: user31",,2019-08-22 20:05:44,2019-08-22 20:05:56,12.592s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:05:44,2019-08-22 20:05:44,0.206s,PASSED
logger = new com.kms.katalon.core.util.KeywordUtil(),Chrome 76.0.3809.100,,,2019-08-22 20:05:44,2019-08-22 20:05:44,0.009s,PASSED
loginPage = new pageObjects.LoginPage(),Chrome 76.0.3809.100,,,2019-08-22 20:05:44,2019-08-22 20:05:44,0.046s,PASSED
"logger.logInfo(""Login - Step01 - Open browser"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:44,2019-08-22 20:05:44,0.012s,PASSED
"loginPage.openBrowser(url, active)",Chrome 76.0.3809.100,,,2019-08-22 20:05:44,2019-08-22 20:05:54,10.085s,PASSED
"logger.logInfo(""Login - Step02 - Input Username"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:54,2019-08-22 20:05:54,0.001s,PASSED
"loginPage.inputUsername(username, active)",Chrome 76.0.3809.100,,,2019-08-22 20:05:54,2019-08-22 20:05:55,0.208s,PASSED
"logger.logInfo(""Login - Step03 - Input Password"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:55,2019-08-22 20:05:55,0.002s,PASSED
"loginPage.inputPassword(password, active)",Chrome 76.0.3809.100,,,2019-08-22 20:05:55,2019-08-22 20:05:55,0.128s,PASSED
"logger.logInfo(""Login - Step04 - Click Sign In button"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:55,2019-08-22 20:05:55,0.003s,PASSED
loginPage.clickSingin(active),Chrome 76.0.3809.100,,,2019-08-22 20:05:55,2019-08-22 20:05:56,1.331s,PASSED
"logger.logInfo(""Login - wait load page"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:56,2019-08-22 20:05:56,0.002s,PASSED
loginPage.waitLoadPage(active),Chrome 76.0.3809.100,,,2019-08-22 20:05:56,2019-08-22 20:05:56,0.107s,PASSED
,,,,,,,
Test Cases/DataPreparation/ConfirmDataPreparation,Chrome 76.0.3809.100,,,2019-08-22 20:05:56,2019-08-22 20:07:45,1m - 48.460s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:05:56,2019-08-22 20:05:56,0.008s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:57,0.002s,PASSED
notificationPage = new pageObjects.NotificationPage(),Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:57,0.055s,PASSED
"step = """"",Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:57,0.004s,PASSED
"step = ""1""",Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:57,0.002s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Notification icon"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:57,0.003s,PASSED
notificationPage.clickNotificationIcon(),Chrome 76.0.3809.100,,,2019-08-22 20:05:57,2019-08-22 20:05:59,2.279s,PASSED
"step = ""2""",Chrome 76.0.3809.100,,,2019-08-22 20:05:59,2019-08-22 20:05:59,0.000s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Click Approval description"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:59,2019-08-22 20:05:59,0.001s,PASSED
"notificationPage.clickDescription(""Approval"")",Chrome 76.0.3809.100,,,2019-08-22 20:05:59,2019-08-22 20:06:04,5.345s,PASSED
"step = ""3""",Chrome 76.0.3809.100,,,2019-08-22 20:06:04,2019-08-22 20:06:04,0.001s,PASSED
"log.logInfo(""Confirmation - Step0"" + step + "" Confirmed Party Creation"")",Chrome 76.0.3809.100,,,2019-08-22 20:06:04,2019-08-22 20:06:04,0.001s,PASSED
"notificationPage.clickConfirmed(description, ""Approval"")",Chrome 76.0.3809.100,,,2019-08-22 20:06:04,2019-08-22 20:07:45,1m - 40.356s,PASSED
,,,,,,,
Test Cases/LogOutFromSystem,Chrome 76.0.3809.100,,,2019-08-22 20:07:45,2019-08-22 20:07:45,0.381s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 76.0.3809.100,,,2019-08-22 20:07:45,2019-08-22 20:07:45,0.001s,PASSED
"click(findTestObject(""LogOut/Menu_Logoff""))",Chrome 76.0.3809.100,,,2019-08-22 20:07:45,2019-08-22 20:07:45,0.093s,PASSED
"click(findTestObject(""LogOut/SignOut""))",Chrome 76.0.3809.100,,,2019-08-22 20:07:45,2019-08-22 20:07:45,0.075s,PASSED
